EntityGlobalId,PSetName,PropName,PropValue
2DedXznHnDaeAWsrTB_qBa,Other,Category,Doors
2DedXznHnDaeAWsrTB_qBa,Other,Family,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBa,Other,Family and Type,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBa,Other,Host Id,Basic Wall: Innervägg 170mm Paroc
2DedXznHnDaeAWsrTB_qBa,Other,Type,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBa,Other,Type Id,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBa,Other,Head Height,2110.0
2DedXznHnDaeAWsrTB_qBa,Phasing,Phase Created,Nytt
2DedXznHnDaeAWsrTB_qBZ,Pset_ConcreteElementGeneral,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_qBZ,Pset_DoorCommon,IsExternal,False
2DedXznHnDaeAWsrTB_qBZ,Pset_DoorCommon,Reference,D9
2DedXznHnDaeAWsrTB_qBZ,Pset_DoorCommon,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_qBZ,Pset_ManufacturerTypeInformation,Manufacturer,Door: Manufacturer
2DedXznHnDaeAWsrTB_qBZ,Pset_ProductRequirements,Category,Doors
2DedXznHnDaeAWsrTB_qBZ,Pset_QuantityTakeOff,Reference,D9
2DedXznHnDaeAWsrTB_qBZ,Dörrförteckning,Dörrtyp,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBZ,Dörrförteckning,Våning,Level: Floor 0
2DedXznHnDaeAWsrTB_qBZ,Dörrförteckning,Bredd,910.0
2DedXznHnDaeAWsrTB_qBZ,Dörrförteckning,Höjd,2110.0
2DedXznHnDaeAWsrTB_qBZ,Dörrförteckning,Tillverkare,Door: Manufacturer
2DedXznHnDaeAWsrTB_qBZ,Dörrförteckning,Littera,Door: Littera
2DedXznHnDaeAWsrTB_qBZ,Custom_Pset,SillHeight,0.0
2DedXznHnDaeAWsrTB_qBZ,Custom_Pset,TypeMark,Door: Type Mark
2DedXznHnDaeAWsrTB_qBZ,Custom_Pset,Keynote,Door: Keynote
2DedXznHnDaeAWsrTB_qBZ,Custom_Pset,StoreyName,Level: Floor 0
2DedXznHnDaeAWsrTB_qBZ,Custom_Pset,TypeDescription,Door: Description
2DedXznHnDaeAWsrTB_qBZ,Custom_Pset,StatusConstruction,Nytt
2DedXznHnDaeAWsrTB_qBZ,Custom_Pset,NetArea,3.05785000001149
2DedXznHnDaeAWsrTB_qBZ,Custom_Pset,Height,2110.0
2DedXznHnDaeAWsrTB_qBZ,Custom_Pset,Width,910.0
2DedXznHnDaeAWsrTB_qBZ,Custom_Pset,Hyperlink,Door: URL
2DedXznHnDaeAWsrTB_qBZ,Constraints,Level,Level: Floor 0
2DedXznHnDaeAWsrTB_qBZ,Constraints,Sill Height,0.0
2DedXznHnDaeAWsrTB_qBZ,Dimensions,Area,3.05785000001149
2DedXznHnDaeAWsrTB_qBZ,Dimensions,Volume,0.134484500000629
2DedXznHnDaeAWsrTB_qBZ,Identity Data,Mark,139
2DedXznHnDaeAWsrTB_qBZ,Materials and Finishes,Dörrblad,Dörrar - dörrblad
2DedXznHnDaeAWsrTB_qBZ,Other,Category,Doors
2DedXznHnDaeAWsrTB_qBZ,Other,Family,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBZ,Other,Family and Type,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBZ,Other,Host Id,Basic Wall: Innervägg 170mm Paroc
2DedXznHnDaeAWsrTB_qBZ,Other,Type,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBZ,Other,Type Id,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBZ,Other,Head Height,2110.0
2DedXznHnDaeAWsrTB_qBZ,Phasing,Phase Created,Nytt
2DedXznHnDaeAWsrTB_qBY,Pset_ConcreteElementGeneral,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_qBY,Pset_DoorCommon,IsExternal,False
2DedXznHnDaeAWsrTB_qBY,Pset_DoorCommon,Reference,D9
2DedXznHnDaeAWsrTB_qBY,Pset_DoorCommon,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_qBY,Pset_ManufacturerTypeInformation,Manufacturer,Door: Manufacturer
2DedXznHnDaeAWsrTB_qBY,Pset_ProductRequirements,Category,Doors
2DedXznHnDaeAWsrTB_qBY,Pset_QuantityTakeOff,Reference,D9
2DedXznHnDaeAWsrTB_qBY,Dörrförteckning,Dörrtyp,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBY,Dörrförteckning,Våning,Level: Floor 0
2DedXznHnDaeAWsrTB_qBY,Dörrförteckning,Bredd,910.0
2DedXznHnDaeAWsrTB_qBY,Dörrförteckning,Höjd,2110.0
2DedXznHnDaeAWsrTB_qBY,Dörrförteckning,Tillverkare,Door: Manufacturer
2DedXznHnDaeAWsrTB_qBY,Dörrförteckning,Littera,Door: Littera
2DedXznHnDaeAWsrTB_qBY,Custom_Pset,SillHeight,0.0
2DedXznHnDaeAWsrTB_qBY,Custom_Pset,TypeMark,Door: Type Mark
2DedXznHnDaeAWsrTB_qBY,Custom_Pset,Keynote,Door: Keynote
2DedXznHnDaeAWsrTB_qBY,Custom_Pset,StoreyName,Level: Floor 0
2DedXznHnDaeAWsrTB_qBY,Custom_Pset,TypeDescription,Door: Description
2DedXznHnDaeAWsrTB_qBY,Custom_Pset,StatusConstruction,Nytt
2DedXznHnDaeAWsrTB_qBY,Custom_Pset,NetArea,3.05785000001149
2DedXznHnDaeAWsrTB_qBY,Custom_Pset,Height,2110.0
2DedXznHnDaeAWsrTB_qBY,Custom_Pset,Width,910.0
2DedXznHnDaeAWsrTB_qBY,Custom_Pset,Hyperlink,Door: URL
2DedXznHnDaeAWsrTB_qBY,Constraints,Level,Level: Floor 0
2DedXznHnDaeAWsrTB_qBY,Constraints,Sill Height,0.0
2DedXznHnDaeAWsrTB_qBY,Dimensions,Area,3.05785000001149
2DedXznHnDaeAWsrTB_qBY,Dimensions,Volume,0.134484500000629
2DedXznHnDaeAWsrTB_qBY,Identity Data,Mark,140
2DedXznHnDaeAWsrTB_qBY,Materials and Finishes,Dörrblad,Dörrar - dörrblad
2DedXznHnDaeAWsrTB_qBY,Other,Category,Doors
2DedXznHnDaeAWsrTB_qBY,Other,Family,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBY,Other,Family and Type,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBY,Other,Host Id,Basic Wall: Innervägg 170mm Paroc
2DedXznHnDaeAWsrTB_qBY,Other,Type,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBY,Other,Type Id,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBY,Other,Head Height,2110.0
2DedXznHnDaeAWsrTB_qBY,Phasing,Phase Created,Nytt
2DedXznHnDaeAWsrTB_qBX,Pset_ConcreteElementGeneral,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_qBX,Pset_DoorCommon,IsExternal,False
2DedXznHnDaeAWsrTB_qBX,Pset_DoorCommon,Reference,D9
2DedXznHnDaeAWsrTB_qBX,Pset_DoorCommon,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_qBX,Pset_ManufacturerTypeInformation,Manufacturer,Door: Manufacturer
2DedXznHnDaeAWsrTB_qBX,Pset_ProductRequirements,Category,Doors
2DedXznHnDaeAWsrTB_qBX,Pset_QuantityTakeOff,Reference,D9
2DedXznHnDaeAWsrTB_qBX,Dörrförteckning,Dörrtyp,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBX,Dörrförteckning,Våning,Level: Floor 0
2DedXznHnDaeAWsrTB_qBX,Dörrförteckning,Bredd,910.0
2DedXznHnDaeAWsrTB_qBX,Dörrförteckning,Höjd,2110.0
2DedXznHnDaeAWsrTB_qBX,Dörrförteckning,Tillverkare,Door: Manufacturer
2DedXznHnDaeAWsrTB_qBX,Dörrförteckning,Littera,Door: Littera
2DedXznHnDaeAWsrTB_qBX,Custom_Pset,SillHeight,0.0
2DedXznHnDaeAWsrTB_qBX,Custom_Pset,TypeMark,Door: Type Mark
2DedXznHnDaeAWsrTB_qBX,Custom_Pset,Keynote,Door: Keynote
2DedXznHnDaeAWsrTB_qBX,Custom_Pset,StoreyName,Level: Floor 0
2DedXznHnDaeAWsrTB_qBX,Custom_Pset,TypeDescription,Door: Description
2DedXznHnDaeAWsrTB_qBX,Custom_Pset,StatusConstruction,Nytt
2DedXznHnDaeAWsrTB_qBX,Custom_Pset,NetArea,3.05785000001149
2DedXznHnDaeAWsrTB_qBX,Custom_Pset,Height,2110.0
2DedXznHnDaeAWsrTB_qBX,Custom_Pset,Width,910.0
2DedXznHnDaeAWsrTB_qBX,Custom_Pset,Hyperlink,Door: URL
2DedXznHnDaeAWsrTB_qBX,Constraints,Level,Level: Floor 0
2DedXznHnDaeAWsrTB_qBX,Constraints,Sill Height,0.0
2DedXznHnDaeAWsrTB_qBX,Dimensions,Area,3.05785000001149
2DedXznHnDaeAWsrTB_qBX,Dimensions,Volume,0.134484500000629
2DedXznHnDaeAWsrTB_qBX,Identity Data,Mark,141
2DedXznHnDaeAWsrTB_qBX,Materials and Finishes,Dörrblad,Dörrar - dörrblad
2DedXznHnDaeAWsrTB_qBX,Other,Category,Doors
2DedXznHnDaeAWsrTB_qBX,Other,Family,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBX,Other,Family and Type,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBX,Other,Host Id,Basic Wall: Innervägg 170mm Paroc
2DedXznHnDaeAWsrTB_qBX,Other,Type,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBX,Other,Type Id,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBX,Other,Head Height,2110.0
2DedXznHnDaeAWsrTB_qBX,Phasing,Phase Created,Nytt
2DedXznHnDaeAWsrTB_q8y,Pset_ConcreteElementGeneral,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_q8y,Pset_DoorCommon,IsExternal,False
2DedXznHnDaeAWsrTB_q8y,Pset_DoorCommon,Reference,D10
2DedXznHnDaeAWsrTB_q8y,Pset_DoorCommon,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_q8y,Pset_ManufacturerTypeInformation,Manufacturer,Door: Manufacturer
2DedXznHnDaeAWsrTB_q8y,Pset_ProductRequirements,Category,Doors
2DedXznHnDaeAWsrTB_q8y,Pset_QuantityTakeOff,Reference,D10
2DedXznHnDaeAWsrTB_q8y,Dörrförteckning,Dörrtyp,Ytterdörr - standard: D10
2DedXznHnDaeAWsrTB_q8y,Dörrförteckning,Våning,Level: Floor 0
2DedXznHnDaeAWsrTB_q8y,Dörrförteckning,Bredd,1010.0
2DedXznHnDaeAWsrTB_q8y,Dörrförteckning,Höjd,2110.0
2DedXznHnDaeAWsrTB_q8y,Dörrförteckning,Tillverkare,Door: Manufacturer
2DedXznHnDaeAWsrTB_q8y,Dörrförteckning,Littera,Door: Littera
2DedXznHnDaeAWsrTB_q8y,Custom_Pset,SillHeight,0.0
2DedXznHnDaeAWsrTB_q8y,Custom_Pset,TypeMark,Door: Type Mark
2DedXznHnDaeAWsrTB_q8y,Custom_Pset,Keynote,Door: Keynote
2DedXznHnDaeAWsrTB_q8y,Custom_Pset,StoreyName,Level: Floor 0
